FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
220209;1800;74;;;
220209;1900;66;;;
220209;2000;58;;;
220209;2100;50;;;
220209;2200;60;;;
220209;2300;52;;;
220210;0000;51;;;
220210;0100;56;;;
220210;0200;37;;;
220210;0300;48;;;
220210;0400;82;;;
220210;0500;28;;;
220210;0600;28;;;
220210;0700;40;;;
220210;0800;65;;;
220210;0900;80;;;
220210;1000;98;;;
220210;1100;86;;;
220210;1200;69;;;
220210;1300;80;;;
220210;1400;83;;;
220210;1500;83;;;
220210;1600;74;;;
220210;1700;66;;;
220210;1800;69;;;
220210;1900;57;;;
220210;2000;50;;;
220210;2100;48;;;
220210;2200;54;;;
220210;2300;58;;;
220211;0000;48;;;
220211;0100;36;;;
220211;0200;33;;;
220211;0300;38;;;
220211;0400;33;;;
220211;0500;42;;;
220211;0600;79;;;
220211;0700;71;;;
220211;0800;77;;;
220211;0900;79;;;
220211;1000;68;;;
220211;1100;67;;;
220211;1200;80;;;
220211;1300;83;;;
220211;1400;82;;;
220211;1500;75;;;
220211;1600;68;;;
220211;1700;80;;;
220211;1800;81;;;
220211;1900;85;;;
220211;2000;98;;;
220211;2100;102;;;
220211;2200;102;;;
220211;2300;98;;;
220212;0000;105;;;
220212;0100;96;;;
220212;0200;80;;;
220212;0300;67;;;
220212;0400;56;;;
220212;0500;59;;;
220212;0600;73;;;
220212;0700;86;;;
220212;0800;72;;;
220212;0900;83;;;
220212;1000;76;;;
220212;1100;88;;;
220212;1200;92;;;
220212;1300;83;;;
220212;1400;82;;;
220212;1500;77;;;
220212;1600;113;;;
220212;1700;100;;;
220212;1800;78;;;
220212;1900;76;;;
220212;2000;75;;;
220212;2100;68;;;
220212;2200;75;;;
220212;2300;82;;;
220213;0000;71;;;
220213;0100;58;;;
220213;0200;64;;;
220213;0300;59;;;
220213;0400;59;;;
220213;0500;68;;;
220213;0600;68;;;
220213;0700;73;;;
220213;0800;67;;;
220213;0900;64;;;
220213;1000;62;;;
220213;1100;61;;;
220213;1200;53;;;
220213;1300;77;;;
220213;1400;67;;;
220213;1500;66;;;
220213;1600;76;;;
220213;1700;72;;;
220213;1800;67;;;
220213;1900;61;;;
220213;2000;56;;;
220213;2100;54;;;
220213;2200;53;;;
220213;2300;55;;;
220214;0000;54;;;
220214;0100;43;;;
220214;0200;55;;;
220214;0300;49;;;
220214;0400;60;;;
220214;0500;61;;;
220214;0600;87;;;
220214;0700;83;;;
220214;0800;102;;;
220214;0900;76;;;
220214;1000;84;;;
220214;1100;93;;;
220214;1200;95;;;
220214;1300;94;;;
220214;1400;84;;;
220214;1500;79;;;
220214;1600;88;;;
220214;1700;99;;;
220214;1800;98;;;
220214;1900;78;;;
220214;2000;74;;;
220214;2100;52;;;
220214;2200;61;;;
220214;2300;64;;;
220215;0000;59;;;
220215;0100;77;;;
220215;0200;58;;;
220215;0300;59;;;
220215;0400;57;;;
220215;0500;31;;;
220215;0600;50;;;
220215;0700;63;;;
220215;0800;67;;;
220215;0900;71;;;
220215;1000;99;;;
220215;1100;101;;;
220215;1200;106;;;
