edad,ypchtotcor,educc,pobreza
59,1611111.0,6,3.0
54,1611111.0,6,3.0
29,1611111.0,6,3.0
30,1611111.0,6,3.0
19,1611111.0,5,3.0
62,356459.0,4,3.0
54,356459.0,3,3.0
55,1550000.0,6,3.0
35,454889.0,6,3.0
32,454889.0,6,3.0
59,454889.0,4,3.0
58,248000.0,4,3.0
30,248000.0,4,3.0
63,248000.0,0,3.0
60,371968.0,3,3.0
21,371968.0,1,3.0
48,100000.0,4,1.0
35,100000.0,4,1.0
47,100000.0,3,1.0
52,510834.0,6,3.0
35,510834.0,6,3.0
44,942834.0,5,3.0
18,942834.0,4,3.0
50,724875.0,3,3.0
30,724875.0,5,3.0
64,706500.0,4,3.0
43,706500.0,4,3.0
26,387500.0,4,3.0
28,387500.0,4,3.0
25,606250.0,5,3.0
37,606250.0,4,3.0
59,606250.0,0,3.0
24,606250.0,4,3.0
39,1190000.0,5,3.0
61,980000.0,6,3.0
60,800417.0,6,3.0
48,1100000.0,6,3.0
42,1100000.0,6,3.0
55,286667.0,4,3.0
57,286667.0,4,3.0
29,286667.0,6,3.0
60,388056.0,4,3.0
63,388056.0,3,3.0
94,388056.0,2,3.0
44,234596.0,4,2.0
51,1200833.0,6,3.0
27,291667.0,5,2.0
49,224954.0,3,2.0
79,224954.0,1,2.0
71,621000.0,6,3.0
41,621000.0,6,3.0
66,465078.0,4,2.0
55,220439.0,3,2.0
56,220439.0,4,2.0
96,416361.0,1,3.0
66,416361.0,1,3.0
66,480000.0,3,3.0
67,480000.0,2,3.0
69,588667.0,1,3.0
50,169737.0,4,2.0
24,169737.0,5,2.0
75,700000.0,3,3.0
63,202950.0,3,1.0
59,202950.0,2,1.0
81,340000.0,1,3.0
58,340000.0,2,3.0
58,726042.0,4,3.0
59,726042.0,4,3.0
59,205417.0,4,3.0
35,205417.0,4,3.0
19,205417.0,3,3.0
56,205417.0,4,3.0
61,978056.0,5,3.0
54,978056.0,4,3.0
18,978056.0,4,3.0
23,12500.0,5,1.0
63,413104.0,3,3.0
63,413104.0,2,3.0
31,413104.0,6,3.0
27,413104.0,6,3.0
55,434444.0,4,3.0
54,434444.0,4,3.0
24,434444.0,5,3.0
42,297296.0,4,3.0
42,297296.0,4,3.0
21,297296.0,5,3.0
59,603317.0,4,3.0
49,603317.0,4,3.0
60,619167.0,4,3.0
52,234286.0,1,3.0
51,234286.0,4,3.0
26,234286.0,4,3.0
24,234286.0,3,3.0
22,234286.0,3,3.0
83,546959.0,0,3.0
52,546959.0,2,3.0
86,461167.0,3,3.0
53,461167.0,2,3.0
56,461167.0,2,3.0
26,343968.0,5,3.0
25,343968.0,6,3.0
62,409438.0,4,3.0
60,409438.0,1,3.0
42,409438.0,4,3.0
61,488493.0,4,3.0
47,488493.0,4,3.0
24,488493.0,5,3.0
59,245833.0,2,2.0
60,245833.0,2,2.0
23,245833.0,5,2.0
42,515386.0,6,3.0
18,515386.0,5,3.0
31,236667.0,3,2.0
32,236667.0,3,2.0
39,1161667.0,3,3.0
37,1161667.0,5,3.0
60,400000.0,3,3.0
53,400000.0,1,3.0
51,282327.0,1,3.0
51,282327.0,1,3.0
24,282327.0,3,3.0
50,296204.0,4,3.0
44,150923.0,4,1.0
30,366110.0,2,2.0
18,366110.0,3,2.0
48,425833.0,4,3.0
45,425833.0,4,3.0
24,425833.0,5,3.0
35,269583.0,2,3.0
39,269583.0,1,3.0
21,269583.0,4,3.0
40,269583.0,2,3.0
39,240000.0,2,3.0
49,240000.0,4,3.0
65,331667.0,3,3.0
48,331667.0,1,3.0
23,331667.0,4,3.0
21,211419.0,4,1.0
20,211419.0,4,1.0
49,318000.0,3,3.0
50,318000.0,4,3.0
24,318000.0,5,3.0
23,318000.0,5,3.0
41,616667.0,5,3.0
60,404167.0,3,3.0
54,404167.0,3,3.0
36,404167.0,4,3.0
34,404167.0,4,3.0
40,404167.0,4,3.0
57,187500.0,2,2.0
49,187500.0,1,2.0
20,187500.0,5,2.0
22,187500.0,5,2.0
73,738300.0,1,3.0
36,220000.0,6,2.0
37,220000.0,4,2.0
53,300000.0,2,2.0
53,300000.0,2,2.0
37,124448.0,3,1.0
22,124448.0,5,1.0
37,124448.0,3,1.0
66,513097.0,2,3.0
68,513097.0,2,3.0
32,513097.0,3,3.0
31,513097.0,4,3.0
22,239376.0,5,2.0
35,239376.0,2,2.0
48,214205.0,1,3.0
50,214205.0,3,3.0
19,214205.0,4,3.0
24,214205.0,4,3.0
33,1338333.0,6,3.0
75,1083556.0,6,3.0
48,1083556.0,6,3.0
53,1083556.0,6,3.0
35,241333.0,4,3.0
18,241333.0,4,3.0
37,252170.0,5,3.0
35,252170.0,5,3.0
31,375000.0,2,3.0
36,375000.0,4,3.0
57,411959.0,2,3.0
49,411959.0,2,3.0
70,346737.0,3,3.0
73,346737.0,2,3.0
66,809250.0,6,3.0
68,809250.0,6,3.0
35,809250.0,6,3.0
54,201250.0,3,2.0
